ФИО;Кафедра;Учёное звание;Учёная степень
Порошина Кристина Ивановна;Коммуникации, медиа и дизайн;Научный сотрудник;Кандидат наук
Януковича Елена Андрияновна;ФКН;Профессор;Бакалавр
Енина Диана Святославовна;Право;Старший научный сотрудник;Кандидат наук
Порошина Анна Андрияновна;Лицей НИУ ВШЭ;Ассистент;Магистр
Должикова Мария Олеговна;Матфак;Научный сотрудник;Магистр
Киселева Наталья Данилевна;Экономические науки;Ассистент;Кандидат наук
Нырко Марта Давидовна;Экономические науки;Доцент;Доктор наук
Петракова Эмма Мефодиевна;МИЭФ;Научный сотрудник;Магистр
Шелагина Ксения Степановна;ФКН;Научный сотрудник;Магистр
Карасёва Нина Антониновна;МИЭФ;Старший научный сотрудник;Доктор наук
Баязова Алина Марковна;Гуманитарные науки;Доцент;Доктор наук
Казанцева Евгения Александровна;Физфак;Профессор;Бакалавр
Тукаева Елена Борисовна;МИЭМ;Профессор;Доктор наук
Бобкова Мария Георгиевна;Право;Старший научный сотрудник;Доктор наук
Куцака Кристина Владленовна;Мировая экономика и мировая политика;Старший научный сотрудник;Магистр
Шурьева Анна Мефодиевна;Социальные науки;Доцент;Доктор наук
Яговкина Ирина Феликсовна;Городское развитие и региональное развитие;Старший научный сотрудник;Доктор наук
Кононова Эмилия Тимофеевна;МИЭФ;Научный сотрудник;Магистр
Фаммуса Анна Игнатиевна;Бизнес и менеджмент;Профессор;Доктор наук
Помелова Ника Леонидовна;Городское развитие и региональное развитие;Профессор;Кандидат наук
Картавый Елена Романовна;МИЭФ;Ассистент;Кандидат наук
Балдагуева Екатерина Андрияновна;Физфак;Старший научный сотрудник;Кандидат наук
Скуратова Виктория Фомевна;Лицей НИУ ВШЭ;Научный сотрудник;Бакалавр
Подколодный Бронислава Казимировна;Социальные науки;Доцент;Магистр
Гончарова Ольга Семеновна;Физфак;Профессор;Кандидат наук
Бехтерева Валерия Афанасиевна;Право;Доцент;Магистр
Колобкова Злата Иларионовна;Коммуникации, медиа и дизайн;Старший научный сотрудник;Магистр
Муленко Татьяна Брониславовна;Биология и биотехнологии;Профессор;Кандидат наук
Сайтахметова Ольга Глебовна;ФКН;Ассистент;Кандидат наук
Набережнева Альбина Германовна;Лицей НИУ ВШЭ;Доцент;Бакалавр
Бурцева Кристина Данилевна;Лицей НИУ ВШЭ;Профессор;Кандидат наук
Левина Алина Фомевна;Экономические науки;Научный сотрудник;Кандидат наук
Терёшина Александра Ивановна;Право;Научный сотрудник;Магистр
Ярилова Яна Федотовна;Городское развитие и региональное развитие;Старший научный сотрудник;Доктор наук
Поздова Зоя Константиновна;Биология и биотехнологии;Старший научный сотрудник;Бакалавр
Долженко Алина Захаровна;Мировая экономика и мировая политика;Научный сотрудник;Кандидат наук
Макарова Ксения Германовна;Коммуникации, медиа и дизайн;Доцент;Магистр
Окладникова Евгения Иосифовна;Коммуникации, медиа и дизайн;Профессор;Бакалавр
Милова Надежда Глебовна;Химия;Профессор;Магистр
Тычкина Татьяна Константиновна;Бизнес и менеджмент;Научный сотрудник;Бакалавр
Таначёва Дарья Данииловна;Физфак;Ассистент;Магистр
Лебедева Нина Никитевна;МИЭФ;Ассистент;Доктор наук
Поникарова Наталия Владленовна;Гуманитарные науки;Профессор;Доктор наук
Копейкина Алина Афанасиевна;ФКН;Ассистент;Кандидат наук
Алистратова Ирина Серафимовна;Городское развитие и региональное развитие;Профессор;Кандидат наук
Лобова Наталия Юлиевна;Право;Научный сотрудник;Доктор наук
Щерба Евгения Михеевна;Гуманитарные науки;Научный сотрудник;Магистр
Романенко Юлия Мироновна;Биология и биотехнологии;Старший научный сотрудник;Доктор наук
Ягафарова Елизавета Ростиславовна;Матфак;Профессор;Магистр
Дудина Яна Владленовна;Химия;Доцент;Бакалавр
Аленина Дарья Феликсовна;Право;Доцент;Кандидат наук
Нарыкова Лада Иосифовна;Право;Старший научный сотрудник;Бакалавр
Фонвизина Инга Карповна;ФКН;Доцент;Кандидат наук
Ляпина Диана Геннадиевна;Гуманитарные науки;Ассистент;Доктор наук
Шаврина Лилия Федоровна;Социальные науки;Научный сотрудник;Бакалавр
Горшкова Татьяна Родионовна;МИЭМ;Ассистент;Магистр
Абакумова Светлана Феликсовна;Физфак;Ассистент;Доктор наук
Кошечкина Яна Яновна;ФКН;Профессор;Бакалавр
Дюженкова Ольга Ефимовна;ФКН;Доцент;Бакалавр
Зефирова Антонина Якововна;Биология и биотехнологии;Старший научный сотрудник;Бакалавр
Тальдаева Дарья Тимофеевна;Коммуникации, медиа и дизайн;Профессор;Магистр
Арсеиньева Лилия Игнатиевна;Биология и биотехнологии;Старший научный сотрудник;Кандидат наук
Бычкова Алина Карповна;ФКН;Старший научный сотрудник;Доктор наук
Кожедуба Полина Леонидовна;МИЭМ;Старший научный сотрудник;Магистр
Сергеева Ольга Ивановна;Социальные науки;Старший научный сотрудник;Доктор наук
Редругина Алина Вячеславовна;Бизнес и менеджмент;Ассистент;Магистр
Кочубей Татьяна Евгениевна;Городское развитие и региональное развитие;Профессор;Магистр
Голованова Пелагея Вячеславовна;Лицей НИУ ВШЭ;Ассистент;Доктор наук
Турчанинова Анастасия Станиславовна;Социальные науки;Профессор;Доктор наук
Кузуба Раиса Емельяновна;ФКН;Старший научный сотрудник;Доктор наук
Климцова Наталья Федоровна;Лицей НИУ ВШЭ;Старший научный сотрудник;Бакалавр
Низовцова Валентина Вячеславовна;Матфак;Профессор;Кандидат наук
Кадцына Алиса Кузьмевна;Экономические науки;Ассистент;Магистр
Набережнева Елена Ильевна;Гуманитарные науки;Старший научный сотрудник;Доктор наук
Юшкова Наталья Тимуровна;Физфак;Старший научный сотрудник;Бакалавр
Бальсунова Ирина Станиславовна;Лицей НИУ ВШЭ;Старший научный сотрудник;Кандидат наук
Ефремовича Дарья Марковна;ФКН;Доцент;Кандидат наук
Сидорова Дарья Андрияновна;Матфак;Профессор;Кандидат наук
Кумовьева Мария Геннадиевна;Коммуникации, медиа и дизайн;Научный сотрудник;Бакалавр
Мальцова Оксана Карповна;Право;Старший научный сотрудник;Бакалавр
Лоскутова Эмма Федотовна;Право;Профессор;Кандидат наук
Есаулова Кристина Яновна;Коммуникации, медиа и дизайн;Старший научный сотрудник;Доктор наук
Снеткова Наталия Алексеевна;Гуманитарные науки;Старший научный сотрудник;Бакалавр
Куанышбаева Надежда Елизаровна;Гуманитарные науки;Научный сотрудник;Кандидат наук
Антонова Анна Родионовна;Лицей НИУ ВШЭ;Ассистент;Бакалавр
Якухина Светлана Вячеславовна;Право;Научный сотрудник;Кандидат наук
Горемыкина Ульяна Елизаровна;Экономические науки;Старший научный сотрудник;Магистр
Кулигина Анастасия Юлиевна;Химия;Профессор;Бакалавр
Сай Христина Святославовна;Коммуникации, медиа и дизайн;Старший научный сотрудник;Кандидат наук
Юдина Виктория Филипповна;Экономические науки;Доцент;Доктор наук
Конакова Валентина Кузьмевна;Бизнес и менеджмент;Доцент;Бакалавр
Кушнарёва Кристина Казимировна;Бизнес и менеджмент;Ассистент;Бакалавр
Завьялова Светлана Якововна;Социальные науки;Ассистент;Доктор наук
Головаха Кристина Глебовна;Бизнес и менеджмент;Доцент;Бакалавр
Палагута Арина Серафимовна;Коммуникации, медиа и дизайн;Профессор;Доктор наук
Гаранина Евгения Иосифовна;Гуманитарные науки;Научный сотрудник;Магистр
Лещёва Екатерина Марковна;Право;Ассистент;Бакалавр
Суханова Дарья Антониновна;Физфак;Научный сотрудник;Магистр
Зверева Оксана Иларионовна;Социальные науки;Научный сотрудник;Магистр
Нилова Дарья Захаровна;Мировая экономика и мировая политика;Доцент;Магистр
Виноградова Нина Анатолиевна;Социальные науки;Профессор;Бакалавр
Молчанова Анастасия Георгиевна;ФКН;Ассистент;Доктор наук
Чазова Алина Федотовна;Мировая экономика и мировая политика;Профессор;Магистр
Царско Владлена Филипповна;Социальные науки;Ассистент;Бакалавр
Бесчастныха Евгения Мироновна;Право;Старший научный сотрудник;Доктор наук
Журавлёва Варвара Анатолиевна;Гуманитарные науки;Профессор;Бакалавр
Лазарева Лариса Олеговна;Биология и биотехнологии;Профессор;Магистр
Шуршалина Полина Федотовна;Городское развитие и региональное развитие;Доцент;Магистр
Анрепа Надежда Антониновна;Матфак;Ассистент;Магистр
